,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
7134,2022-08-30 07:00:00,1023.5,938.0,24.85,1043.5,4.34,4.0
7160,2022-08-30 08:00:00,582.0,508.0,17.61,557.0,3.76,4.0
7462,2022-09-01 17:00:00,1628.0,432.0,29.345001,560.0,12.085,3.0
7463,2022-09-01 17:00:00,1532.0,442.0,28.119999,562.5,9.92,4.0
7658,2022-09-02 17:00:00,1628.0,875.0,21.55,1003.5,5.775,4.0
7689,2022-09-02 18:00:00,1974.0,465.0,29.64,609.0,11.07,3.0
7690,2022-09-02 18:00:00,1532.0,568.5,23.11,709.5,5.94,4.0
7904,2022-09-03 13:00:00,1042.0,471.0,17.82,555.0,7.22,4.0
7911,2022-09-03 13:00:00,1821.0,388.0,24.654999,530.0,12.355,3.0
7942,2022-09-03 14:00:00,1628.0,324.0,18.99,452.0,12.94,3.0
7943,2022-09-03 14:00:00,686.0,521.5,12.99,575.5,4.9,4.0
7963,2022-09-03 15:00:00,1345.0,275.5,20.12,380.5,12.67,3.0
7964,2022-09-03 15:00:00,686.0,285.0,13.76,339.0,8.21,4.0
8021,2022-09-03 16:00:00,999.0,506.0,13.47,656.0,5.88,4.0
8212,2022-09-04 16:00:00,1504.0,760.5,21.31,889.5,5.7349997,4.0
8233,2022-09-04 17:00:00,1504.0,320.0,15.05,448.0,12.06,3.0
8234,2022-09-04 17:00:00,1504.0,624.0,17.04,736.5,7.3900003,4.0
8283,2022-09-04 20:00:00,504.0,519.0,10.41,630.0,2.87,4.0
8308,2022-09-04 22:00:00,571.0,553.0,13.61,674.0,3.04,4.0
